dataset,model,n_icl,BLEU,ROUGE-L,BERT,MEDCON
opi,gpt-4,0,"{'avg': 0.71, 'std': 3.14}","{'avg': 17.45, 'std': 11.47}","{'avg': 86.53, 'std': 2.27}","{'avg': 10.12, 'std': 18.03}"
opi,gpt-4,1,"{'avg': 14.51, 'std': 30.79}","{'avg': 47.45, 'std': 29.96}","{'avg': 91.71, 'std': 4.65}","{'avg': 40.55, 'std': 39.15}"
opi,gpt-4,2,"{'avg': 34.18, 'std': 43.72}","{'avg': 60.75, 'std': 33.21}","{'avg': 93.48, 'std': 5.24}","{'avg': 56.66, 'std': 40.97}"
opi,gpt-4,4,"{'avg': 36.37, 'std': 42.74}","{'avg': 62.4, 'std': 32.56}","{'avg': 93.7, 'std': 5.07}","{'avg': 56.61, 'std': 40.75}"
opi,gpt-4,8,"{'avg': 40.67, 'std': 43.83}","{'avg': 65.86, 'std': 31.98}","{'avg': 94.36, 'std': 4.99}","{'avg': 63.02, 'std': 39.31}"
opi,gpt-4,16,"{'avg': 43.92, 'std': 43.68}","{'avg': 68.27, 'std': 32.67}","{'avg': 94.69, 'std': 5.02}","{'avg': 64.77, 'std': 40.06}"
opi,gpt-4,32,"{'avg': 42.86, 'std': 43.02}","{'avg': 67.54, 'std': 31.92}","{'avg': 94.58, 'std': 4.91}","{'avg': 64.76, 'std': 38.46}"
opi,gpt-4,64,"{'avg': 44.88, 'std': 42.67}","{'avg': 68.83, 'std': 31.49}","{'avg': 94.75, 'std': 4.84}","{'avg': 64.07, 'std': 39.56}"
opi,gpt-4,128,"{'avg': 45.65, 'std': 42.15}","{'avg': 68.64, 'std': 31.46}","{'avg': 94.7, 'std': 4.9}","{'avg': 65.2, 'std': 38.94}"
opi,gpt-4,256,"{'avg': 46.0, 'std': 43.1}","{'avg': 68.22, 'std': 32.26}","{'avg': 94.68, 'std': 4.91}","{'avg': 64.88, 'std': 39.27}"
cxr,gpt-4,0,"{'avg': 1.64, 'std': 4.51}","{'avg': 21.3, 'std': 13.46}","{'avg': 85.39, 'std': 3.02}","{'avg': 19.06, 'std': 22.8}"
cxr,gpt-4,1,"{'avg': 7.39, 'std': 22.08}","{'avg': 36.76, 'std': 23.78}","{'avg': 88.38, 'std': 4.51}","{'avg': 36.38, 'std': 33.2}"
cxr,gpt-4,2,"{'avg': 17.13, 'std': 32.9}","{'avg': 42.27, 'std': 28.58}","{'avg': 89.54, 'std': 5.15}","{'avg': 42.79, 'std': 33.9}"
cxr,gpt-4,4,"{'avg': 20.13, 'std': 33.26}","{'avg': 46.18, 'std': 28.74}","{'avg': 90.29, 'std': 5.12}","{'avg': 46.59, 'std': 34.05}"
cxr,gpt-4,8,"{'avg': 23.55, 'std': 35.26}","{'avg': 48.77, 'std': 30.09}","{'avg': 90.76, 'std': 5.24}","{'avg': 50.55, 'std': 35.28}"
cxr,gpt-4,16,"{'avg': 26.23, 'std': 36.0}","{'avg': 51.14, 'std': 29.36}","{'avg': 91.08, 'std': 5.32}","{'avg': 52.17, 'std': 34.94}"
cxr,gpt-4,32,"{'avg': 27.78, 'std': 36.67}","{'avg': 52.26, 'std': 29.22}","{'avg': 91.23, 'std': 5.35}","{'avg': 53.75, 'std': 34.34}"
cxr,gpt-4,64,"{'avg': 30.69, 'std': 38.9}","{'avg': 54.65, 'std': 29.74}","{'avg': 91.65, 'std': 5.47}","{'avg': 55.39, 'std': 34.82}"
cxr,gpt-4,128,"{'avg': 29.64, 'std': 36.84}","{'avg': 53.75, 'std': 29.39}","{'avg': 91.51, 'std': 5.34}","{'avg': 55.62, 'std': 34.26}"
iii,gpt-4,0,"{'avg': 3.81, 'std': 7.61}","{'avg': 23.36, 'std': 12.7}","{'avg': 86.7, 'std': 2.37}","{'avg': 24.31, 'std': 20.24}"
iii,gpt-4,1,"{'avg': 3.84, 'std': 7.71}","{'avg': 24.93, 'std': 13.08}","{'avg': 87.53, 'std': 2.62}","{'avg': 28.83, 'std': 23.5}"
iii,gpt-4,2,"{'avg': 6.17, 'std': 14.03}","{'avg': 27.19, 'std': 17.36}","{'avg': 87.98, 'std': 3.14}","{'avg': 30.07, 'std': 23.19}"
iii,gpt-4,4,"{'avg': 8.18, 'std': 16.78}","{'avg': 30.46, 'std': 18.77}","{'avg': 88.49, 'std': 3.26}","{'avg': 32.38, 'std': 25.52}"
iii,gpt-4,8,"{'avg': 9.9, 'std': 18.05}","{'avg': 32.3, 'std': 20.79}","{'avg': 88.78, 'std': 3.32}","{'avg': 32.85, 'std': 25.28}"
iii,gpt-4,16,"{'avg': 9.3, 'std': 16.55}","{'avg': 34.01, 'std': 20.67}","{'avg': 88.94, 'std': 3.33}","{'avg': 35.98, 'std': 26.29}"
iii,gpt-4,32,"{'avg': 9.84, 'std': 15.4}","{'avg': 34.96, 'std': 19.57}","{'avg': 89.08, 'std': 3.31}","{'avg': 35.88, 'std': 28.91}"
iii,gpt-4,64,"{'avg': 11.52, 'std': 19.07}","{'avg': 34.51, 'std': 20.04}","{'avg': 89.04, 'std': 3.29}","{'avg': 36.54, 'std': 27.68}"
chq,gpt-4,0,"{'avg': 4.17, 'std': 10.0}","{'avg': 33.46, 'std': 17.21}","{'avg': 91.53, 'std': 2.55}","{'avg': 55.65, 'std': 29.76}"
chq,gpt-4,1,"{'avg': 5.39, 'std': 11.51}","{'avg': 34.48, 'std': 17.76}","{'avg': 91.91, 'std': 2.79}","{'avg': 55.26, 'std': 31.51}"
chq,gpt-4,2,"{'avg': 7.47, 'std': 14.44}","{'avg': 36.03, 'std': 19.12}","{'avg': 92.15, 'std': 2.9}","{'avg': 57.03, 'std': 33.86}"
chq,gpt-4,4,"{'avg': 7.07, 'std': 13.61}","{'avg': 36.4, 'std': 18.98}","{'avg': 92.17, 'std': 2.85}","{'avg': 55.92, 'std': 32.9}"
chq,gpt-4,8,"{'avg': 7.8, 'std': 14.51}","{'avg': 37.11, 'std': 18.97}","{'avg': 92.26, 'std': 2.74}","{'avg': 56.11, 'std': 35.62}"
chq,gpt-4,16,"{'avg': 8.07, 'std': 15.04}","{'avg': 37.7, 'std': 18.47}","{'avg': 92.34, 'std': 2.85}","{'avg': 59.78, 'std': 35.16}"
chq,gpt-4,32,"{'avg': 8.28, 'std': 16.4}","{'avg': 37.01, 'std': 17.94}","{'avg': 92.37, 'std': 2.92}","{'avg': 59.42, 'std': 35.51}"
chq,gpt-4,48,"{'avg': 8.0, 'std': 15.56}","{'avg': 37.15, 'std': 17.07}","{'avg': 92.43, 'std': 2.84}","{'avg': 58.29, 'std': 36.24}"
chq,gpt-4,64,"{'avg': 8.25, 'std': 15.92}","{'avg': 37.03, 'std': 18.58}","{'avg': 92.49, 'std': 2.97}","{'avg': 58.23, 'std': 36.62}"
chq,gpt-4,128,"{'avg': 10.65, 'std': 17.25}","{'avg': 37.33, 'std': 18.9}","{'avg': 92.45, 'std': 3.06}","{'avg': 59.75, 'std': 36.77}"
pls,gpt-4,0,"{'avg': 0.41, 'std': 2.48}","{'avg': 13.23, 'std': 8.31}","{'avg': 82.59, 'std': 2.92}","{'avg': 22.05, 'std': 16.45}"
pls,gpt-4,1,"{'avg': 1.76, 'std': 6.19}","{'avg': 19.87, 'std': 13.62}","{'avg': 84.91, 'std': 3.79}","{'avg': 27.67, 'std': 22.38}"
pls,gpt-4,2,"{'avg': 3.08, 'std': 12.22}","{'avg': 23.31, 'std': 17.65}","{'avg': 85.48, 'std': 4.14}","{'avg': 29.16, 'std': 22.93}"
pls,gpt-4,6,"{'avg': 2.58, 'std': 8.46}","{'avg': 23.12, 'std': 16.05}","{'avg': 85.46, 'std': 4.17}","{'avg': 28.92, 'std': 23.0}"
pls,gpt-4,8,"{'avg': 2.87, 'std': 8.32}","{'avg': 23.77, 'std': 15.53}","{'avg': 85.46, 'std': 4.19}","{'avg': 29.56, 'std': 22.45}"
pls,gpt-4,16,"{'avg': 3.27, 'std': 9.79}","{'avg': 25.66, 'std': 16.54}","{'avg': 85.84, 'std': 4.12}","{'avg': 31.39, 'std': 21.61}"
pls,gpt-4,24,"{'avg': 3.44, 'std': 9.49}","{'avg': 27.16, 'std': 16.28}","{'avg': 86.05, 'std': 4.1}","{'avg': 31.45, 'std': 22.19}"
d2n,gpt-4,0,"{'avg': 9.07, 'std': 3.92}","{'avg': 25.04, 'std': 4.42}","{'avg': 87.0, 'std': 1.16}","{'avg': 45.13, 'std': 12.44}"
d2n,gpt-4,1,"{'avg': 19.75, 'std': 11.93}","{'avg': 36.35, 'std': 11.17}","{'avg': 89.59, 'std': 1.4}","{'avg': 59.26, 'std': 14.4}"
d2n,gpt-4,2,"{'avg': 23.53, 'std': 14.99}","{'avg': 39.28, 'std': 13.7}","{'avg': 89.8, 'std': 1.95}","{'avg': 60.13, 'std': 16.44}"
d2n,gpt-4,4,"{'avg': 24.9, 'std': 13.49}","{'avg': 39.99, 'std': 12.49}","{'avg': 89.95, 'std': 1.83}","{'avg': 59.43, 'std': 15.91}"
d2n,gpt-4,8,"{'avg': 27.72, 'std': 12.6}","{'avg': 42.64, 'std': 11.15}","{'avg': 90.3, 'std': 1.67}","{'avg': 62.18, 'std': 14.23}"
d2n,gpt-4,16,"{'avg': 26.93, 'std': 11.28}","{'avg': 42.85, 'std': 10.23}","{'avg': 90.15, 'std': 1.49}","{'avg': 59.89, 'std': 13.92}"
opi,gpt-35,0,"{'avg': 1.68, 'std': 5.76}","{'avg': 14.05, 'std': 11.59}","{'avg': 85.75, 'std': 2.26}","{'avg': 8.15, 'std': 16.76}"
opi,gpt-35,1,"{'avg': 4.59, 'std': 12.55}","{'avg': 28.21, 'std': 19.1}","{'avg': 89.87, 'std': 3.24}","{'avg': 28.44, 'std': 32.25}"
opi,gpt-35,2,"{'avg': 12.49, 'std': 27.44}","{'avg': 38.62, 'std': 26.31}","{'avg': 91.12, 'std': 4.19}","{'avg': 39.53, 'std': 36.21}"
opi,gpt-35,4,"{'avg': 23.97, 'std': 36.39}","{'avg': 49.52, 'std': 30.77}","{'avg': 92.2, 'std': 4.77}","{'avg': 50.11, 'std': 39.71}"
opi,gpt-35,8,"{'avg': 30.02, 'std': 38.53}","{'avg': 54.27, 'std': 31.41}","{'avg': 92.76, 'std': 4.82}","{'avg': 53.9, 'std': 39.91}"
opi,gpt-35,16,"{'avg': 34.94, 'std': 40.26}","{'avg': 58.93, 'std': 32.96}","{'avg': 93.4, 'std': 4.92}","{'avg': 57.1, 'std': 39.88}"
opi,gpt-35,32,"{'avg': 33.88, 'std': 40.31}","{'avg': 59.83, 'std': 32.21}","{'avg': 93.51, 'std': 4.78}","{'avg': 57.6, 'std': 39.5}"
opi,gpt-35,64,"{'avg': 43.51, 'std': 43.61}","{'avg': 66.78, 'std': 32.85}","{'avg': 94.52, 'std': 5.16}","{'avg': 60.79, 'std': 40.51}"
opi,gpt-35,128,"{'avg': 42.28, 'std': 43.99}","{'avg': 67.16, 'std': 33.1}","{'avg': 94.53, 'std': 5.13}","{'avg': 62.26, 'std': 41.35}"
